Energy_Meter_ID,Year,Month_Num,Present_Reading,Previous_Reading,Difference,Meter_Constant,Net_Energy_MU,Consumption_Ratio,Meter_Status_OK,meter_mean_diff,meter_std_diff,meter_mean_net,meter_std_net,meter_record_count,Diff_Zscore,Net_Energy_Zscore,Diff_Deviation_Ratio
13193134,2020,0,271.6,265.2,6.40000000000003,1000.0,19200.0,0.024132730015083,1,1150.2500000000002,210.83145770809924,13802040.000000006,2535279.5498053106,60,-5.42542375997649,-5.436418244709314,0.005564007824386
2208926,2020,0,100746.5,94681.1,6065.39999999999,2000.0,12130800.0,0.0640613596588969,1,5373.7642857142855,944.0044907770816,10747528.57142857,1888008.981554164,14,0.7326614661720161,0.7326614661720269,1.1287060015126382
GECO2400,2020,0,15090.2,12700.5,2389.7,3000.0,7169100.0,0.1881579465375378,1,2296.385714285715,336.18099259211584,6889157.142857144,1008542.9777763454,14,0.277571569394174,0.2775715693941765,1.0406352840177415
GECO2421,2020,0,30708.0,29032.0,1676.0,3000.0,5028000.0,0.0577294020391292,1,1269.6999999999998,422.7545249117192,3809099.999999999,1268263.574735157,13,0.9610778266296378,0.9610778266296386,1.3199968496495238
Q0245915,2020,0,67.358,8.335,59.023,120000.0,7082760.0,7.081343731253749,1,60.67209302325582,17.88446336883331,7430185.7142857155,1932169.929421755,43,-0.0922081355893315,-0.1798111589438152,0.972819579132968
Q0245881,2020,0,9.705,2.802,6.903,20000.0,138060.0,2.463597430406852,1,5.491263888888889,3.54975705176635,110582.81690140846,71206.78268622402,72,0.3976993609770096,0.3858787332053889,1.2570876467925065
Q0245703,2020,0,14.197,1.54,12.657,20000.0,253140.0,8.21883116883117,1,7.250782608695652,4.617262983933441,147553.7777777778,91751.76558343042,46,1.1708705807133382,1.1507813669940992,1.7456046723592056
Q0245763,2020,0,9.897,1.066,8.831,40000.0,353240.0,8.284240150093808,1,5.324028169014084,2.556519765908508,212961.12676056335,102260.7906363403,71,1.3717757545831637,1.3717757545831637,1.6587064755585892
Q0245756,2020,0,17.443,1.436,16.007,40000.0,640280.0,11.146935933147631,1,4.927042253521127,4.819802463162096,197081.69014084508,192792.09852648395,71,2.29884063323411,2.298840633234108,3.248805099765594
Q0245885,2020,0,53.156,5.687,47.469,20000.0,949380.0,8.346931598382275,1,10.859778378378376,18.73837633034432,344557.15068493143,1059402.593219086,74,1.953702977047048,0.5709093532396048,4.371083676487352
Q0245809,2020,0,23.158,2.354,20.804,20000.0,416080.0,8.837723024638912,1,23.615661971830985,5.396258698510247,487234.3661971831,137110.4789652949,71,-0.5210391363570478,-0.5189564410696393,0.8809407936485216
Q0245113,2020,0,35.449,6.518,28.931,40000.0,1157240.0,4.438631482049709,1,24.286676056338035,20.28085999217323,965589.014084507,813747.7718576561,71,0.2290003454219544,0.2355164493759343,1.191229295144732
Q0245739,2020,0,59.582,6.452,53.13,10000.0,531300.0,8.234655920644762,1,39.94781944444444,11.267900132210784,415160.42253521126,104383.1187971452,72,1.1698879472558117,1.1126279689965068,1.3299849838834898
Q0245930,2020,0,84.376,9.018,75.358,20000.0,1507160.0,8.356398314482147,1,77.40174999999999,143.8936639763133,2267442.5,526540.6872759613,72,-0.0142031966072975,-1.4439197546789655,0.9735955582399624
Q0245713,2020,0,31.695,3.725,27.97,40000.0,1118800.0,7.508724832214765,1,32.79048611111111,15.874084052531863,1311619.4444444445,634963.3621012745,72,-0.3036701894206146,-0.3036701894206144,0.852991319043676
Q0245916,2020,0,46.054,4.27,41.784,120000.0,5014080.0,9.785480093676815,1,44.12260294117647,12.08437567798017,5366090.149253732,1335301.248486868,68,-0.1935228598890556,-0.2636185277686373,0.9469976206006192
KEB07711,2020,0,1153.84,1153.78,0.0599999999999454,20000.0,1199.99999999891,5.200298150422559e-05,1,0.1834782608695662,0.7445452523857999,3669.5652173913177,14890.905047715944,46,-0.1658438630478813,-0.1658438630478813,0.3270142180091792
Q0245899,2020,0,29.79,1.41,28.38,20000.0,567600.0,20.127659574468087,1,9.431333333333336,3.55236493731814,190886.19718309864,68898.3537511435,72,5.334099114538602,5.467674948774072,3.009118541033434
Q0245701,2020,0,17.704,2.1,15.604,10000.0,156040.0,7.43047619047619,1,30.7575,17.940807879931587,587681.0256410255,399980.85516549455,40,-0.8446386640676621,-1.0791542146746782,0.5073234170527513
Q0245773,2020,0,48.006,4.987,43.019,40000.0,1720760.0,8.626228193302586,1,29.999624999999973,45.97636836445583,1004875.5555555556,577514.2749601826,72,0.2831753673277348,1.239596102613744,1.4339845914740612
Q0245716,2020,0,35.683,1.952,33.731,40000.0,1349240.0,17.280225409836067,1,21.62518055555556,14.921138887475545,876090.704225352,593584.408110889,72,0.8113200698510881,0.7971053304457042,1.559802005506698
Q0245949,2020,0,68.41,9.317,59.093,20000.0,1181860.0,6.342492218525277,1,37.31822222222222,12.470915139988511,764864.2253521127,242559.7629313648,72,1.7460448999413078,1.7191465295333477,1.5834891503703885
Q0245847,2020,0,0.472,0.064,0.408,20000.0,8160.0,6.374999999999999,1,54.00253333333333,32.792040365511475,1376707.7333333334,738008.7368551424,75,-1.6343762918058786,-1.8543787695049392,0.0075552011140218
0.01597222222222222,2020,2,272.0,27.2,15.02,10.0,62.0,0.5522058823529412,0,15.02,12.654643598964242,62.0,399980.85516549455,1,-0.104794986695801,-0.0703827710098905,1.0
2208926,2020,0,6339.524,746.5,5593.024,2000.0,11186048.0,7.492329537843269,1,5373.7642857142855,944.0044907770816,10747528.57142857,1888008.981554164,14,0.2322655415603219,0.2322655415603215,1.0408018853503862
GECO2400,2020,0,17946.1,15090.2,2855.9,3000.0,8567699.99999999,0.1892552782600628,1,2296.385714285715,336.18099259211584,6889157.142857144,1008542.9777763454,14,1.6643245693344022,1.6643245693343975,1.2436499592527384
GECO2421,2020,0,31605.2,30708.0,897.200000000001,3000.0,2691600.0,0.0292171421128045,1,1269.6999999999998,422.7545249117192,3809099.999999999,1268263.574735157,13,-0.8811259916798888,-0.8811259916798913,0.7066236118768221
Q0245915,2020,0,137.865,67.358,70.507,120000.0,8460840.0,1.0467502004216278,1,60.67209302325582,17.88446336883331,7430185.7142857155,1932169.929421755,43,0.5499134513525952,0.5334180343147824,1.1620993522174097
Q0245881,2020,0,35.498,9.705,25.793,20000.0,515860.0,2.65770221535291,1,5.491263888888889,3.54975705176635,110582.81690140846,71206.78268622402,72,5.719190303744596,5.691553076965493,4.697097156847619
Q0245703,2020,0,31.842,14.197,17.645,20000.0,352900.0,1.2428682115939989,1,7.250782608695652,4.617262983933441,147553.7777777778,91751.76558343042,46,2.2511642562862053,2.2380628962992506,2.4335304135085867
Q0245763,2020,0,19.174,9.897,9.277,40000.0,371080.0,0.937354753965848,1,5.324028169014084,2.556519765908508,212961.12676056335,102260.7906363403,71,1.5462316715478832,1.5462316715478837,1.74247763263017
Q0245756,2020,0,34.031,17.443,16.588,40000.0,663520.0,0.9509832024307744,1,4.927042253521127,4.819802463162096,197081.69014084508,192792.09852648395,71,2.419384992560161,2.41938499256016,3.366725744668687
Q0245885,2020,0,106.294,53.156,53.138,20000.0,1062760.0,0.9996613740687786,1,10.859778378378376,18.73837633034432,344557.15068493143,1059402.593219086,74,2.256237193462576,0.6779319343864804,4.893101695868564
Q0245739,2020,0,121.124,59.582,61.542,10000.0,615420.0,1.032895841025813,1,39.94781944444444,11.267900132210784,415160.42253521126,104383.1187971452,72,1.916433434995198,1.918505403675156,1.5405596815011806
Q0245809,2020,0,47.944,23.158,24.786,20000.0,495720.0,1.070299680455998,1,23.615661971830985,5.396258698510247,487234.3661971831,137110.4789652949,71,0.2168795259004379,0.0618890245796951,1.049557705795629
Q0245113,2020,0,77.975,35.449,42.526,40000.0,1701040.0,1.199638917882028,1,24.286676056338035,20.28085999217323,965589.014084507,813747.7718576561,71,0.8993368107023504,0.903782488075606,1.751001244524036
Q0245930,2020,0,166.123,84.376,81.747,20000.0,1634940.0,0.96884185076325,1,77.40174999999999,143.8936639763133,2267442.5,526540.6872759613,72,0.0301976465114912,-1.2012414525309112,1.0561389115879165
Q0245713,2020,0,57.303,31.695,25.608,40000.0,1024320.0,0.8079507808802651,1,32.79048611111111,15.874084052531863,1311619.4444444445,634963.3621012745,72,-0.4524661761486342,-0.4524661761486341,0.7809582301777066
